,close
2021/8/30,2.8505
2021/8/31,2.845
2021/9/1,2.8226
2021/9/2,2.8301
2021/9/3,2.8327
2021/9/6,2.8354
2021/9/7,2.8604
2021/9/8,2.8705
2021/9/9,2.873
2021/9/10,2.8656
2021/9/13,2.8908
2021/9/14,2.8858
2021/9/15,2.9009
2021/9/16,2.8885
2021/9/17,2.8785
2021/9/18,2.8717
2021/9/22,2.8639
2021/9/23,2.8565
2021/9/24,2.8719
2021/9/26,2.8797
2021/9/27,2.8825
2021/9/28,2.8769
2021/9/29,2.8646
2021/9/30,2.8776
2021/10/8,2.9131
2021/10/9,2.9186
2021/10/11,2.958
2021/10/12,2.9657
2021/10/13,2.9578
2021/10/14,2.9581
2021/10/15,2.9683
2021/10/18,3.0426
2021/10/19,3.0102
2021/10/20,2.9978
2021/10/21,2.9702
2021/10/22,2.9953
2021/10/25,2.9879
2021/10/26,2.978
2021/10/27,2.9781
2021/10/28,2.9682
2021/10/29,2.9732
2021/11/1,2.9435
2021/11/2,2.9259
2021/11/3,2.9385
2021/11/4,2.9261
2021/11/5,2.8911
2021/11/8,2.9013
2021/11/9,2.8988
2021/11/10,2.9139
2021/11/11,2.9365
2021/11/12,2.9391
2021/11/15,2.9269
2021/11/16,2.9244
2021/11/17,2.9295
2021/11/18,2.9146
2021/11/19,2.9302
2021/11/22,2.8876
2021/11/23,2.8875
2021/11/24,2.86
2021/11/25,2.855
2021/11/26,2.82
2021/11/29,2.825
2021/11/30,2.825
2021/12/1,2.8401
2021/12/2,2.8601
2021/12/3,2.8701
2021/12/6,2.8176
2021/12/7,2.8451
2021/12/8,2.8551
2021/12/9,2.8526
2021/12/10,2.8426
2021/12/13,2.8552
2021/12/14,2.8477
2021/12/15,2.8502
2021/12/16,2.8577
2021/12/17,2.8512
2021/12/20,2.8533
2021/12/21,2.8508
2021/12/22,2.8303
2021/12/23,2.8143
2021/12/24,2.8203
2021/12/27,2.8128
2021/12/28,2.8004
2021/12/29,2.7854
2021/12/30,2.7654
2021/12/31,2.7754
2022/1/4,2.7855
2022/1/5,2.8045
2022/1/6,2.8205
2022/1/7,2.8181
2022/1/10,2.8056
2022/1/11,2.7957
2022/1/12,2.7957
2022/1/13,2.7858
2022/1/14,2.7935
2022/1/17,2.786
2022/1/18,2.7415
2022/1/19,2.7314
2022/1/20,2.7271
2022/1/21,2.71
2022/1/24,2.6751
2022/1/25,2.6979
2022/1/26,2.7146
2022/1/27,2.7348
2022/1/28,2.7021
2022/1/29,2.7013
2022/1/30,2.6997
2022/2/7,2.7256
2022/2/8,2.7227
2022/2/9,2.7328
2022/2/10,2.7328
2022/2/11,2.7891
2022/2/14,2.8018
